,type,date,time,location,action,description
333,thunderstorm,,,,,amazing
334,,,,,httpstcocooncgolj,
335,httpstcocjuuldgb,,AM,,continue,
336,warning,,,,include,
337,weather,,,,continue,
338,warning,,,,include,
339,weather,,,,continue,httpstcoERRVraJ
340,pm,,,,include,
341,warning,,,Scranton,include,
342,weather,,,,continue,
343,weather,,EST,NC,continue,
344,warning,,,httpstcogempcc,include,
345,PM,,,NC,httpstcotEdmjvpIR,
346,warning,,,NC,include,
347,warning,,EST,NC,httpstcogsbhufoid,
348,,,,,httpstcoNtOrwlciP,
349,car,ago,,,drive,front
350,e,,,,move,
351,httpstcovwbzoiee,,,,move,Possible
352,httpstcotlwfybfvum,,,,move,Possible
353,people,,,Goldfie,part,large
354,n,,,,affect,httpstcotmmpuhxz
355,pissing,,,,,
356,thunderstorm,,,,,amazing
357,warning,,,NC,include,severe
358,,,,,continue,
359,httpstcoxkYOuWni,,,,include,severe
360,httpstcomzdquny,,,NC,continue,
361,,,,NC,continue,
362,warning,,,NC,include,severe
363,,,,NC,continue,
364,httpstcoVJQaHOkA,,,NC,include,severe
365,httpstcoSNbneGxmQ,,,,,beautiful
366,town,Saturday,morning,,,severe
367,town,Saturday,morning,,,severe
368,httpstcokbweqecj,,,,get,
369,time,,,,wake,right
370,chill,,,,blow,
371,half,,,,crack,whole
372,weather,,,NC,love,nuclear
373,bombing,,,Pakistan,rise,
374,cause,,,,see,
375,httpstcolfgtpsylby,,,,go,
376,use,weekly,,,visit,
377,pic,,,,entail,palestinian
378,ambulance,,,,use,aged
379,,,,,,
380,bombing,,,,suicide,
381,injure,,,,cro,httpstcogeaTlUxU
382,thing,,,httpstcoVlFXNqJa,wash,big
383,bombing,,,,s,
384,time,,,,end,high
385,woman,,,,twoyear,
386,,,,,mention,
387,people,,,Pakistan,httpstco,Islamic
388,httpstcofsfcuvprez,weekly,,,use,
389,baby,,,,bro,die
390,httptcogmrimezvc,,,,come,
391,httpstcogvybcav,,,,take,new
392,httpstcoaddrzwtljg,,,,think,
393,apparel,,,,,chic
394,bombing,,,,foreignborn,terrorist
395,suicide,,,,foreignborn,terrorist
396,suicide,,,,wear,first
397,brother,,,Bombing,let,
398,madness,,,Iran,start,
399,basis,daily,,Somalia,face,true
400,httpstcorzPnXUWwB,,,Pakistan,rise,
401,bombing,,,,commit,arabian
402,son,,,,use,aged
403,httpstcocjedrxrscz,ago,,,lose,sad
404,terrorist,,,,make,
405,capture,,,Pakistan,,responsible
406,httpstcocbccpwiea,,,,blame,deadly
407,bombing,,,Pakistan,rise,
408,httpstcowZlcYzJG,,,US,allow,public
409,bombing,,,Pakistan,rise,
410,rise,,,Pakistan,,
411,bombing,,,Pakistan,rise,
412,rise,,,Pakistan,,
413,httpstcopomiopxv,,,Pakistan,,
414,shooting,,,America,count,
415,bombing,,,Russia,miss,open
416,community,,,,remain,intact
417,day,,,,,
418,claim,,,Pakistan,kill,least
